"train/global_step","qwen3vl_rl - _step","qwen3vl_rl - _step__MIN","qwen3vl_rl - _step__MAX","qwen3vl_rl - train/num_tokens","qwen3vl_rl - train/num_tokens__MIN","qwen3vl_rl - train/num_tokens__MAX"
"495","2474","2474","2474","4915796","4915796","4915796"
"496","2479","2479","2479","4918012","4918012","4918012"
"497","2484","2484","2484","4924765","4924765","4924765"
"498","2489","2489","2489","4933983","4933983","4933983"
"499","2494","2494","2494","4952746","4952746","4952746"
"500","2499","2499","2499","4971816","4971816","4971816"
"501","2504","2504","2504","5000812","5000812","5000812"
"502","2509","2509","2509","5018785","5018785","5018785"
"503","2514","2514","2514","5021033","5021033","5021033"
"504","2519","2519","2519","5036958","5036958","5036958"
"505","2524","2524","2524","5046232","5046232","5046232"
"506","2529","2529","2529","5047826","5047826","5047826"
"507","2534","2534","2534","5064221","5064221","5064221"
"508","2539","2539","2539","5066161","5066161","5066161"
"509","2544","2544","2544","5094727","5094727","5094727"
"510","2549","2549","2549","5103729","5103729","5103729"
"511","2554","2554","2554","5120415","5120415","5120415"
"512","2559","2559","2559","5129690","5129690","5129690"
"513","2564","2564","2564","5131568","5131568","5131568"
"514","2569","2569","2569","5134066","5134066","5134066"
"515","2574","2574","2574","5157768","5157768","5157768"
"516","2579","2579","2579","5166726","5166726","5166726"
"517","2584","2584","2584","5168889","5168889","5168889"
"518","2589","2589","2589","5180956","5180956","5180956"
"519","2594","2594","2594","5188354","5188354","5188354"
"520","2599","2599","2599","5190296","5190296","5190296"
"521","2604","2604","2604","5192652","5192652","5192652"
"522","2609","2609","2609","5199114","5199114","5199114"
"523","2614","2614","2614","5200707","5200707","5200707"
"524","2619","2619","2619","5209023","5209023","5209023"
"525","2624","2624","2624","5218116","5218116","5218116"
"526","2629","2629","2629","5224276","5224276","5224276"
"527","2634","2634","2634","5226189","5226189","5226189"
"528","2639","2639","2639","5232997","5232997","5232997"
"529","2644","2644","2644","5239536","5239536","5239536"
"530","2649","2649","2649","5241893","5241893","5241893"
"531","2654","2654","2654","5244151","5244151","5244151"
"532","2659","2659","2659","5262387","5262387","5262387"
"533","2664","2664","2664","5264165","5264165","5264165"
"534","2669","2669","2669","5277703","5277703","5277703"
"535","2674","2674","2674","5286623","5286623","5286623"
"536","2679","2679","2679","5293933","5293933","5293933"
"537","2684","2684","2684","5296919","5296919","5296919"
"538","2689","2689","2689","5299252","5299252","5299252"
"539","2694","2694","2694","5301276","5301276","5301276"
"540","2699","2699","2699","5309706","5309706","5309706"
"541","2704","2704","2704","5311978","5311978","5311978"
"542","2709","2709","2709","5326232","5326232","5326232"
"543","2714","2714","2714","5335699","5335699","5335699"
"544","2719","2719","2719","5343033","5343033","5343033"
"545","2724","2724","2724","5345205","5345205","5345205"
"546","2729","2729","2729","5365765","5365765","5365765"
"547","2734","2734","2734","5389046","5389046","5389046"
"548","2739","2739","2739","5395194","5395194","5395194"
"549","2744","2744","2744","5408103","5408103","5408103"
"550","2749","2749","2749","5417029","5417029","5417029"
"551","2754","2754","2754","5425021","5425021","5425021"
"552","2759","2759","2759","5434249","5434249","5434249"
"553","2764","2764","2764","5436091","5436091","5436091"
"554","2769","2769","2769","5455139","5455139","5455139"
"555","2774","2774","2774","5465628","5465628","5465628"
"556","2779","2779","2779","5472598","5472598","5472598"
"557","2784","2784","2784","5480935","5480935","5480935"
"558","2789","2789","2789","5483017","5483017","5483017"
"559","2794","2794","2794","5501219","5501219","5501219"
"560","2799","2799","2799","5503169","5503169","5503169"
"561","2804","2804","2804","5505098","5505098","5505098"
"562","2809","2809","2809","5525168","5525168","5525168"
"563","2814","2814","2814","5536690","5536690","5536690"
"564","2819","2819","2819","5553409","5553409","5553409"
"565","2824","2824","2824","5562405","5562405","5562405"
"566","2829","2829","2829","5570721","5570721","5570721"
"567","2834","2834","2834","5572911","5572911","5572911"
